frame,x_Left_Ankle,y_Left_Ankle,x_Right_big_Toe,y_Right_big_Toe,x_Right_Ankle,y_Right_Ankle,x_Right_Knee,y_Right_Knee,x_Right_Hip,y_Right_Hip,x_Right_Shoulder,y_Right_Shoulder
1,87.86,454.55,115.46,475.57,77.48,463.35,83.95,376.85,93.76,286.12,87.35,167.24
2,84.9,446.79,110.97,467.96,75.11,455.85,81.89,372.13,90.2,287.52,85.03,174.6
3,84.71,446.71,111.87,467.73,74.98,456.01,81.69,372.05,90.33,287.46,85.11,174.68
4,84.41,446.86,111.78,467.77,74.96,455.86,81.8,371.94,89.96,287.46,85.16,174.87
5,84.23,447.09,111.48,467.9,74.79,455.93,81.63,372.21,89.88,288.33,84.98,174.84
6,84.12,447.1,111.08,468.21,74.84,455.74,81.45,372.6,89.82,288.69,84.81,174.85
7,84.38,446.92,111.43,468.19,74.91,456.07,81.16,373.02,90.2,287.91,84.8,174.99
8,84.38,446.85,111.72,468.39,74.8,456.17,81.36,372.82,90.26,287.53,84.79,174.82
9,84.28,446.94,112.07,468.21,74.81,455.98,81.36,372.59,90.42,288.06,84.66,174.94
10,84.3,446.91,111.96,468.25,74.87,456.06,81.14,372.89,90.25,288.16,84.82,174.77
11,84.2,447.19,112.21,467.98,74.84,455.97,80.97,373.3,90.18,288.35,84.74,174.83
12,84.07,447.2,111.89,467.92,74.75,456.06,81.06,373.24,90.21,288.55,84.71,174.88
13,84.46,447.25,111.48,468.08,74.75,456.24,81.35,373.17,90.2,288.02,84.49,174.93
14,83.94,447.58,111.38,467.98,74.72,456.18,81.12,373.31,90.34,288.06,84.25,175.01
15,84,447.7,111.44,468.26,74.74,456.54,80.86,373.72,90.34,287.59,84.26,175.03
16,83.92,447.78,111.47,468.49,74.74,456.29,81.07,373.3,90.25,287.72,84.41,175.12
17,83.99,447.83,111.42,468.59,74.71,456.25,81.06,373.15,88.97,288.62,84.31,175.42
18,84.03,447.99,111.59,468.75,74.5,455.92,81.12,373.13,88.72,288.67,84.04,175.53
19,83.82,448.04,112.02,468.82,74.48,456.04,81.08,373.15,88.67,288.75,83.91,175.48
20,83.71,448,112.41,468.77,74.06,456.38,81.11,373.18,88.56,288.51,83.72,175.61
21,83.53,447.86,112.19,469.01,74.54,456.76,81.07,373.12,88.56,287.94,84.05,175.67
22,83.51,448.01,112.2,468.99,74.52,456.81,81.04,373.23,88.68,287.9,84.28,175.54
23,83.42,447.9,112.25,468.74,74.27,456.16,80.96,373.13,88.73,288.11,83.98,175.81
24,83.51,448.02,112.2,468.6,73.87,456.17,80.95,373.15,88.65,288.33,83.74,175.78
25,83.52,448.09,112.28,468.75,73.95,456.24,80.89,373.06,88.72,288.27,83.54,175.9
26,83.28,448.48,111.35,468.9,73.86,456.29,80.98,372.9,88.8,288.94,83.54,175.94
27,83.35,448.65,111.58,469.12,73.99,456.5,80.78,373.46,88.89,289.16,83.34,175.89
28,83.65,448.76,112.33,468.83,74,456.67,80.77,373.54,88.83,289.47,83.33,175.8
29,83.42,448.81,112.03,468.78,74,456.6,80.45,373.69,89.1,289.81,83.32,175.96
30,83.7,448.68,111.68,468.69,73.75,456.65,80.22,373.83,89,289.64,83.08,175.95
31,83.48,448.38,111.93,468.36,73.82,456.45,80.13,374.38,88.97,289.42,82.95,176.03
32,83.52,448.45,111.88,468.5,73.69,456.37,80.17,373.95,88.85,289.09,82.6,176.07
33,83.59,448.55,111.97,468.65,73.67,456.16,79.85,374.26,88.98,289.05,82.83,176.1
34,83.14,448.73,111.85,468.67,73.92,455.92,79.74,374.48,88.99,288.98,82.93,176.14
35,83.09,448.73,111.77,468.7,73.63,456.32,79.74,374.51,89.07,288.69,82.69,176.18
36,83.1,448.74,111.82,468.66,74.43,456.3,79.63,374.61,89.09,288.81,82.58,176.43
37,83.2,448.78,111.77,468.83,74.44,456.31,79.64,374.69,89.23,288.22,82.55,176.36
38,83.14,448.66,111.84,469.03,74.43,456.24,79.61,374.65,89.32,287.92,82.48,176.41
39,83.53,448.75,111.83,469.28,74.46,456.37,79.58,374.87,90.06,287.28,82.36,176.25
40,83.37,448.7,111.61,469.44,73.75,456.09,79.57,374.91,89.23,287.22,82.4,176.38
41,83.53,448.75,111.62,469.62,73.88,456.49,79.41,375.18,89.09,287.72,82.49,176.34
42,83.63,449.08,111.26,469.7,73.91,456.64,79.35,375.11,89.15,287.36,82.64,176.35
43,83.72,449.03,111.27,469.76,73.89,456.52,79.1,375.13,89.05,287.61,82.51,176.29
44,83.57,449.02,111.19,469.85,73.87,456.59,78.93,375.39,89.74,288.04,82.6,176.18
45,83.77,449.32,111.1,470.09,73.89,456.91,79,375.51,88.69,288.51,82.48,176.07
46,83.61,449.3,110.94,470.06,73.81,456.69,78.99,375.82,88.49,289.13,82.37,176.06
47,83.4,449.13,111.02,469.94,73.86,456.71,79,375.72,88.36,288.98,82.4,176.08
48,83.33,449.66,110.94,469.88,73.77,456.72,79.1,375.59,88.47,288.29,82.39,175.92
49,83.48,449.78,111.16,469.64,73.94,456.86,79.08,375.66,88.38,288.49,82.26,175.86
